Episode,Average_Reward,Travel_Time,Time_to_Collision,Distance_to_Collision,Success,Average_Speed,Affected_Followers,Avg_Deceleration
1,7.045454545454546,11.0,,,True,10.511427417143695,2,0.6429216802622673
2,1.1818181818181819,18.7,,,True,6.204577673342231,2,0.7896143235579167
3,-1.0193548387096774,15.5,8.6,76.281960525914,False,7.465839885672485,2,1.0865105576128098
4,-5.97,10.0,6.0,76.51114968545022,False,11.55996134203444,1,0.5417670737646318
5,2.648854961832061,13.100000000000001,,,True,8.7938060393681,3,0.5196256898138844
6,0.8207547169811321,10.600000000000001,,,True,10.901381993305645,3,1.9829305894407707
7,4.0,10.8,,,True,10.688858313819143,1,0.11071361775975674
8,5.106194690265487,11.3,,,True,10.201847728607461,1,0.34068901466726587
9,-0.35365853658536583,16.400000000000002,,,True,7.045136744145171,2,1.0304209365879968
10,-1.0,37.1,,,True,3.13577207194834,2,0.2601105824209493
11,-0.10666666666666667,15.0,,,True,7.718683900485854,3,0.9527024763418327
12,-1.088235294117647,6.800000000000001,4.2,76.21648575982054,False,16.826814451508593,1,0.15402955125055406
13,-3.73972602739726,7.300000000000001,4.6000000000000005,76.70351160383967,False,15.756972793719152,1,0.7757947245859498
14,0.0641025641025641,7.800000000000001,,,True,14.639683328791772,1,0.1435418465243643
15,3.5984251968503935,12.700000000000001,,,True,9.115116408321272,0,0.0
16,2.114503816793893,13.100000000000001,,,True,8.839737759836567,0,0.0
17,3.8173913043478263,11.5,7.9,76.16299038463704,False,10.023668492157368,1,0.4758213873543493
18,2.63265306122449,9.8,6.6000000000000005,76.14959776255982,False,11.790515626971228,1,1.2141574786784126
19,0.5405405405405406,7.4,4.7,76.92160639629404,False,15.477877101079727,1,0.15120029630240062
20,3.0704225352112675,14.200000000000001,,,True,8.13812380096664,3,0.15864571205246905
21,4.147826086956521,11.5,,,True,10.038988334657859,0,0.0
22,0.116751269035533,19.700000000000003,,,True,5.892518303503788,3,0.4916183136393837
23,1.146341463414634,12.3,,,True,9.413003451738195,2,0.32781523456355544
24,5.208695652173913,11.5,,,True,10.057058249916912,1,0.15783051095891842
25,0.5921052631578947,7.6000000000000005,5.0,75.95908312625323,False,15.047331765269082,2,1.0631580046205746
26,-0.1388888888888889,7.2,4.7,76.28260975433821,False,15.87876863436147,2,1.4426829803326946
27,1.0,12.200000000000001,,,True,9.486633686899372,3,0.8776605015326014
28,1.5151515151515151,6.6000000000000005,,,True,17.37725636160725,1,0.1438714002491892
29,0.5188679245283019,10.600000000000001,7.4,77.06272176062213,False,10.838349165188273,1,0.5828486702835356
30,4.7155172413793105,11.600000000000001,,,True,9.921442698277916,1,0.25085441115868967
31,-1.7950819672131149,12.200000000000001,7.4,76.4145100521282,False,9.489943014133415,3,0.5433790642798927
32,0.5714285714285714,11.9,7.5,75.99611621139161,False,9.728220724631898,1,0.14980723411170516
33,2.3846153846153846,10.4,,,True,11.032436344628985,1,0.8576678824441153
34,0.28440366972477066,21.8,,,True,5.3204085107472325,3,0.5900704785951261
35,1.8632478632478633,11.700000000000001,,,True,9.842233390981976,2,1.0925305230910354
36,2.5977011494252875,8.700000000000001,,,True,13.212735146440771,0,0.0
37,-5.7899159663865545,11.9,7.4,76.21547189037476,False,9.681642359295362,1,0.7371731844550666
38,4.912408759124087,13.700000000000001,,,True,8.44291964683092,2,0.7598213219404393
39,4.189781021897811,13.700000000000001,,,True,8.417804561115613,1,0.15915698266632639
40,-0.25806451612903225,6.2,4.2,76.68071782668652,False,18.401262971394896,1,1.258088526479515
41,-0.125,5.6000000000000005,3.6,76.00698409454534,False,20.355891002991537,1,1.5060909605136619
42,0.48872180451127817,13.3,,,True,8.709531488561014,2,0.34942967466854213
43,1.3116883116883118,15.4,,,True,7.5279280020792525,1,0.421701526677829
44,-0.14782608695652175,11.5,7.4,76.21438683641485,False,10.004024889576836,2,0.650729744410441
45,1.0294117647058822,6.800000000000001,4.5,76.79831502575634,False,16.750312652141837,2,0.48898354700999125
46,3.1153846153846154,10.4,,,True,11.017471652914194,1,1.722805113023096
47,-2.3389830508474576,5.9,5.1000000000000005,81.85092439733273,False,19.43829646158114,0,0.0
48,-5.636363636363637,11.0,6.7,76.11119834071775,False,10.514838273860228,2,0.896056877394531
49,5.223214285714286,11.200000000000001,,,True,10.277478586536468,2,0.5006492009459507
50,-0.726027397260274,7.300000000000001,4.800000000000001,76.22497151777932,False,15.581736745000597,2,1.146773931402758
51,4.855769230769231,10.4,,,True,11.052208328314535,1,0.010777280207969753
52,3.9140625,12.8,,,True,8.994218763107419,2,0.5205899677227155
53,3.5416666666666665,9.600000000000001,,,True,12.016075780929318,1,0.1208424920361928
54,0.050505050505050504,9.9,7.0,77.53622306702228,False,11.610764803932065,2,0.47029141748946124
55,-2.150537634408602,9.3,6.300000000000001,76.74076374881298,False,12.331894782320672,0,0.0
56,2.277227722772277,10.100000000000001,,,True,11.328379215550381,1,4.499999999999993
57,-3.037037037037037,24.3,4.800000000000001,76.65606027914605,False,4.784383750825739,3,0.016963655410883183
58,-2.193939393939394,16.5,16.400000000000002,84.72417388355461,False,6.682568564531588,2,0.3200033989133866
59,-4.160714285714286,5.6000000000000005,3.7,76.31870612115718,False,20.197031770672737,2,0.25204107172708046
60,1.6382978723404256,9.4,8.6,83.34540973245146,False,12.234245009412156,0,0.0
61,2.6875,9.600000000000001,,,True,12.028780511257997,0,0.0
62,-1.8129496402877698,13.9,7.6000000000000005,76.2706287803626,False,8.337000769532327,3,0.29580206159870076
63,-0.3597122302158273,13.9,,,True,8.298636358065057,3,0.6269941824524613
64,2.897196261682243,10.700000000000001,,,True,10.7289900594956,1,0.4711133622117991
65,3.566666666666667,9.0,,,True,12.68113360531656,0,0.0
66,-4.84375,6.4,4.9,77.72393695282334,False,17.771757171485145,1,4.499999999999993
67,0.8378378378378378,7.4,4.7,76.23990886235181,False,15.463592210123636,2,0.9517365937747435
68,2.88,10.0,,,True,11.506927049206585,1,0.9554672473405024
69,-1.2828507795100224,44.900000000000006,5.300000000000001,76.20199758927447,False,2.593682220162159,3,0.30066018404479183
70,4.053571428571429,11.200000000000001,,,True,10.245056510109768,0,0.0
71,3.8636363636363638,11.0,,,True,10.49596720098538,0,0.0
72,2.5555555555555554,11.700000000000001,,,True,9.888767711978439,1,0.003808706574268683
73,0.11711711711711711,11.100000000000001,6.6000000000000005,76.60471286088162,False,10.419989464497098,3,0.44262977462126446
74,4.168224299065421,10.700000000000001,,,True,10.748807662998056,2,0.486281076858468
75,0.21774193548387097,12.4,6.800000000000001,76.08186896985406,False,9.29322980561849,3,0.3002276630515155
76,1.8943089430894309,12.3,,,True,9.357583117746273,2,0.35888331209344315
77,3.5604395604395602,9.1,,,True,12.585961527553588,1,0.8517315816922455
78,-7.184782608695652,9.200000000000001,6.1000000000000005,76.1130900512665,False,12.479705430186318,2,2.5702956293593093
79,2.6464646464646466,9.9,,,True,11.59630727305399,2,0.3312569553694722
80,3.047169811320755,10.600000000000001,,,True,10.889654347194856,1,0.0053928150007731546
81,3.6881720430107525,9.3,,,True,12.354014789679601,1,0.5705495554020512
82,-0.9665140240412136,349.40000000000003,,,True,0.33399561675385725,3,0.06928038659994927
83,-2.164705882352941,17.0,,,True,6.796337120383101,0,0.0
84,-5.76,10.0,5.5,76.18298112360739,False,11.545072628239446,1,0.2327420755829568
85,0.6888888888888889,9.0,6.0,76.15617679872891,False,12.72230339210651,1,0.4571570651823009
86,2.2268041237113403,9.700000000000001,,,True,11.853953823931619,1,0.4272624647353407
87,3.3454545454545452,11.0,,,True,10.418210240766701,2,0.7086953045182831
88,-0.8888888888888888,9.0,6.7,78.092331908219,False,12.81142708451768,0,0.0
89,-3.260869565217391,6.9,5.0,78.1805103872457,False,16.631938027943523,0,0.0
90,-1.0526315789473684,5.7,5.6000000000000005,76.88101802249476,False,15.008464037980806,0,0.0
91,2.7422680412371134,9.700000000000001,,,True,11.804206965210836,1,4.499999999999993
92,3.1052631578947367,9.5,6.300000000000001,75.9853558931448,False,12.159277344122472,2,0.7758478759283793
93,4.17741935483871,12.4,,,True,9.303007411641389,2,0.7175324797818305
94,4.291970802919708,13.700000000000001,,,True,8.428771435997898,3,0.5055486867874345
95,-0.36792452830188677,10.600000000000001,,,True,10.814117576559747,1,4.500000000000002
96,4.891891891891892,11.100000000000001,,,True,10.352277483131152,2,0.513972971157326
97,2.845360824742268,9.700000000000001,,,True,11.824287417968225,2,0.2001441481637256
98,-5.020618556701031,9.700000000000001,6.2,76.35596720396795,False,11.842943536113017,0,0.0
99,4.703703703703703,10.8,,,True,10.657001978163395,2,1.155048036848756
100,3.876190476190476,10.5,,,True,10.907524814514543,2,0.2775237058758506
