Episode,Average_Reward,Travel_Time,Time_to_Collision,Distance_to_Collision,Success,Average_Speed,Affected_Followers,Avg_Deceleration
1,3.74,15.0,,,True,8.439308532823366,0,0.0
2,3.165289256198347,12.100000000000001,,,True,10.451146080330922,3,0.6420538638873671
3,1.935483870967742,12.4,,,True,10.203259958893739,2,0.17811631488148905
4,2.4057971014492754,13.8,,,True,9.175908679346342,2,0.7977238978608447
5,2.073170731707317,12.3,,,True,10.225662734210223,2,0.17310400019633576
6,2.0970149253731343,13.4,,,True,9.404789855603116,2,0.04209384673562688
7,1.8220338983050848,11.8,,,True,10.665643911620792,0,0.0
8,1.681159420289855,13.8,,,True,9.210913660793398,1,0.20879171742127056
9,2.234848484848485,13.200000000000001,,,True,9.614727599396588,1,0.6408281513955316
10,2.1796875,12.8,,,True,9.868307034152208,2,0.2401925161015228
11,2.0387596899224807,12.9,,,True,9.803693425683347,1,0.4088369555305782
12,2.4100719424460433,13.9,,,True,9.14064404740909,1,0.024051191355098922
13,2.142857142857143,11.9,,,True,10.689237807955381,2,0.3278561946935987
14,1.872340425531915,14.100000000000001,,,True,8.989964852526077,2,0.015057039136117112
15,2.314516129032258,12.4,,,True,10.205419924886831,1,0.14832841078751713
16,2.4365079365079363,12.600000000000001,,,True,10.04269795547274,2,0.49922474569175534
17,2.283582089552239,13.4,,,True,9.500891798055536,2,0.08482633616076818
18,2.2790697674418605,12.9,,,True,9.794452846287648,1,0.24914557803422
19,2.2753623188405796,13.8,,,True,9.221893494765906,2,0.5486031705979233
20,2.3089430894308944,12.3,,,True,10.334541918911624,2,0.9020096134197164
21,2.023076923076923,13.0,,,True,9.733315634050511,1,1.1732615198008745
22,2.1666666666666665,12.600000000000001,,,True,10.082644721358532,2,0.6325689123128608
23,2.237410071942446,13.9,,,True,9.072726818920295,0,0.0
24,2.547008547008547,11.700000000000001,,,True,10.782305587948004,2,0.41495669159340665
25,2.5793650793650795,12.600000000000001,,,True,10.05882648290893,1,0.38312432458623036
26,3.3221476510067114,14.9,,,True,8.517907268047665,2,0.4761725874490441
27,4.008474576271187,11.8,,,True,10.741331334556474,2,0.06998997707615473
28,1.71900826446281,12.100000000000001,,,True,10.390484607972652,2,0.32110385277773545
29,3.7050359712230216,13.9,,,True,9.125820483294255,2,0.6604195970484295
30,2.2992700729927007,13.700000000000001,,,True,9.265148496212612,1,0.8847198046511018
31,2.2295081967213113,12.200000000000001,,,True,10.42390624702351,2,0.12782286945730803
32,2.2605042016806722,11.9,,,True,10.669539217575556,0,0.0
33,4.065573770491803,12.200000000000001,,,True,10.346374758066561,1,0.20934746844581298
34,2.188976377952756,12.700000000000001,,,True,9.989768905412333,1,0.2995670382632021
35,2.411764705882353,11.9,,,True,10.690330114655088,2,0.3700454182107915
36,2.3115942028985508,13.8,,,True,9.19231370346546,2,0.2898048726634972
37,2.033333333333333,12.0,,,True,10.526727140701045,1,0.048398772859936656
38,2.392405063291139,15.8,,,True,8.005985810880812,1,0.43240455258636956
39,2.0579710144927534,13.8,,,True,9.148256665827654,1,0.22163556551094032
40,2.125984251968504,12.700000000000001,,,True,9.989839857164254,1,0.45335592642839373
41,1.897810218978102,13.700000000000001,,,True,9.20170243313064,1,0.05594245910065965
42,1.8780487804878048,12.3,,,True,10.305245392533484,2,0.23481078173499093
43,2.032258064516129,12.4,,,True,10.160009839383005,2,0.2587375415605475
44,2.255639097744361,13.3,,,True,9.52004708458739,1,0.53409577838611
45,2.2231404958677685,12.100000000000001,,,True,10.460018977821418,2,0.9624148484688444
46,2.173228346456693,12.700000000000001,,,True,10.0097968320623,2,0.10370410052386703
47,3.937062937062937,14.3,,,True,8.852985905526362,1,0.3091243632475127
48,2.0655737704918034,12.200000000000001,,,True,10.316130353069983,2,0.4795496604899885
49,1.930232558139535,12.9,,,True,9.776835639230882,2,0.16732550553279602
50,2.234848484848485,13.200000000000001,,,True,9.563114878585795,0,0.0
51,1.8814814814814815,13.5,,,True,9.331454895254824,2,0.2970267455210074
52,2.4,14.0,,,True,9.069053327759251,1,0.021020841645071897
53,3.4193548387096775,12.4,,,True,10.217514512361719,1,0.27648665708106535
54,2.6611570247933884,12.100000000000001,,,True,10.537823668871539,1,0.046663854759394496
55,2.2205882352941178,13.600000000000001,,,True,9.310859481585222,1,0.09557713607792451
56,2.1908396946564888,13.100000000000001,,,True,9.714488581633168,1,0.2522060513496349
57,2.093220338983051,11.8,,,True,10.656688082894219,3,0.18491401548963302
58,2.1893939393939394,13.200000000000001,,,True,9.572023511215633,2,0.289535093408686
59,2.124031007751938,12.9,,,True,9.829543256505833,1,0.5296660822816079
60,2.1774193548387095,12.4,,,True,10.133422758946335,1,0.037132829567418923
61,3.0408163265306123,14.700000000000001,,,True,8.56548865040716,1,0.2259850753704029
