Episode,Average_Reward,Travel_Time,Time_to_Collision,Distance_to_Collision,Success,Average_Speed,Affected_Followers,Avg_Deceleration
1,9.375,7.2,,,True,17.38787802944527,1,0.6645675879670243
2,4.827586206896552,8.700000000000001,,,True,14.490270764849585,3,0.2428918428253309
3,3.3714285714285714,14.0,,,True,9.097193634258774,2,0.4602120472079463
4,4.616279069767442,8.6,,,True,14.748267307926449,2,0.9441443056873311
5,4.409090909090909,11.0,,,True,11.490624221529945,2,0.4105607096338648
6,0.32075471698113206,15.9,,,True,8.016437031205879,3,0.619082524290023
7,3.823529411764706,8.5,3.9000000000000004,70.12732905552987,False,14.881243946943657,2,0.3382157562533372
8,0.9142857142857143,14.0,,,True,9.079119374918312,2,0.8514568558575686
9,8.666666666666666,11.700000000000001,,,True,10.870726266905145,3,0.8876694498207153
10,2.2941176470588234,13.600000000000001,,,True,9.339496251139856,3,0.684216847371566
11,1.9324324324324325,14.8,,,True,8.599759523922172,3,0.4428932837087096
12,6.3076923076923075,13.0,,,True,9.791187662283573,2,0.308449938809785
13,0.3492063492063492,18.900000000000002,,,True,6.7329356665034945,2,0.30559620372760055
14,2.4496644295302015,14.9,,,True,8.539150088842824,0,0.0
15,7.517543859649122,11.4,,,True,11.079689650605854,2,0.48856175362580245
16,4.4021739130434785,9.200000000000001,,,True,13.776192192990512,1,0.3224278019275495
17,7.263888888888889,14.4,,,True,8.800777544173984,2,0.5172906835366842
18,-0.3904382470119522,25.1,,,True,5.0847599974629825,1,0.6162308487431112
19,-0.2740740740740741,13.5,,,True,9.43537858080261,2,0.10315097535260609
20,6.953125,12.8,,,True,9.933515133223235,1,0.35785152550486643
21,3.875,8.0,,,True,15.71553291207291,1,0.33210513178513423
22,-2.3684210526315788,11.4,4.9,71.90138926645407,False,11.13904542212651,3,0.8899364170816959
23,6.809523809523809,10.5,,,True,12.077829132003174,3,0.36356943058944324
24,1.2205882352941178,13.600000000000001,,,True,9.344658981670598,3,0.900105124099723
25,6.169642857142857,11.200000000000001,,,True,11.298311596507366,2,0.16595531963958798
26,-3.854368932038835,10.3,3.7,70.09443139533569,False,12.270422545285,2,0.5945106841787329
27,5.722222222222222,10.8,,,True,11.708495633824793,1,1.819772391443255
28,3.5526315789473686,11.4,,,True,11.121079638922382,1,1.5342677210625588
29,4.766233766233766,7.7,3.9000000000000004,70.50338659627735,False,16.35728251098461,0,0.0
30,8.0,13.700000000000001,,,True,9.272112342707706,3,0.2983450111057924
31,7.484848484848484,6.6000000000000005,,,True,19.091000354477263,2,0.39183505233729043
32,-6.931034482758621,11.600000000000001,3.7,69.14547130981634,False,10.938976662641362,3,0.9826766540780133
33,6.655172413793103,8.700000000000001,,,True,14.524431786422799,2,0.5679061335035129
34,5.108695652173913,9.200000000000001,,,True,13.723282710715603,2,0.5017295368144481
35,-0.7091633466135459,25.1,,,True,5.08057720197524,3,0.5600772391324785
36,-2.057894736842105,19.0,5.9,71.64768977368685,False,6.711101381261813,2,0.2324442214884903
37,-3.394285714285714,17.5,4.9,69.2319078735537,False,7.283961303425523,1,1.0031662996093216
38,4.8,12.0,,,True,10.600942997385422,0,0.0
39,4.209677419354839,6.2,3.3000000000000003,70.89650657734742,False,20.118353325925487,1,0.27498078566726036
40,3.925373134328358,13.4,,,True,9.498174382725544,1,0.34847906737788037
41,5.7272727272727275,11.0,,,True,11.490347558531603,2,0.9750275679086862
42,4.2105263157894735,11.4,,,True,11.061272081071499,2,0.9528222916877827
43,6.266666666666667,7.5,,,True,16.718110162273288,1,0.23681172609794743
44,4.0675675675675675,7.4,,,True,17.062563769168307,1,0.7672014020616125
45,0.5113636363636364,8.8,4.6000000000000005,72.26411219505876,False,14.317951889965267,2,0.882804891540081
46,1.9375,12.8,5.800000000000001,69.41133987244041,False,9.894030063046213,1,1.3319906581655694
47,8.93939393939394,9.9,,,True,12.717110601830463,2,0.44489555202732234
48,4.298245614035087,11.4,,,True,11.105203438707997,1,0.3773327102651791
49,-1.0293103448275862,116.0,115.9,125.47373515494903,False,1.0978867607762066,3,1.1667859889464904
50,6.666666666666667,13.200000000000001,,,True,9.605265482687383,2,0.25504653453316983
51,4.4140625,12.8,,,True,9.908839026272082,1,0.3927235465264012
